t_ms,emg0,emg1,emg2,emg3,emg4,emg5,emg6,emg7
1228.975,-1,1,-2,-2,-1,0,2,2
1238.028,1,-2,1,-1,1,-1,2,-1
1238.028,1,-1,-3,0,0,0,0,-2
1252.244,1,2,1,-1,0,0,0,0
1252.244,-2,1,-4,-3,-3,-1,-4,-2
1259.651,-2,1,1,-1,0,-1,-2,-2
1259.651,-2,-1,1,0,1,1,0,0
1275.38,0,-1,0,1,2,-2,2,-1
1275.38,0,1,-3,-1,-1,-1,1,-2
1276.727,-1,-2,-1,-1,-3,0,0,1
1276.727,1,3,0,-2,-1,-1,-2,0
1288.204,0,2,1,0,-1,-2,0,-2
1288.204,1,2,-5,-2,0,-2,-2,-1
1297.151,-1,-3,2,0,0,2,1,1
1297.151,0,-1,-5,0,-2,-1,0,-2
1311.908,-1,-4,5,3,3,2,0,0
1311.908,2,0,-4,-1,2,-2,-5,0
1314.221,0,1,0,-2,0,0,-1,-2
1314.221,2,-1,0,-1,0,-1,-2,-1
1334.889,-3,0,-1,0,-2,-1,-1,-1
1334.889,-3,-1,-3,-1,-2,1,0,-2
1335.886,0,0,-1,1,-1,-1,-1,-2
1335.886,-2,-2,1,0,0,-1,0,0
1348.278,-1,1,-1,0,0,-1,-1,-1
1348.278,0,0,0,1,-1,-1,0,1
1365.033,1,2,-4,-3,0,0,-1,1
1365.033,1,2,2,-1,-1,0,-1,1
1379.162,0,-1,-7,-3,-1,0,-1,0
1379.162,-1,1,2,-1,-1,-1,2,0
1381.542,-1,0,-2,-1,-1,1,-2,0
1381.542,0,0,2,2,-1,0,1,0
1393.559,2,-2,-1,-2,-1,-2,-2,1
1393.559,-1,-1,0,-2,-1,2,-1,-1
1402.662,1,-1,0,-1,0,-1,2,-1
1402.662,-1,3,-2,-3,-1,-2,-2,-1
1416.846,2,2,-1,0,0,-2,0,-1
1416.846,2,0,4,1,-2,-1,1,0
1419.321,-2,-4,-2,0,-1,0,-3,1
1419.321,-1,-2,2,-2,0,-1,0,0
1431.902,-1,0,-1,1,1,1,-1,0
1431.902,0,-2,-2,1,0,0,-2,1
1433.384,0,2,-1,-3,-1,-2,1,0
1433.384,0,-2,3,2,2,1,0,2
1455.734,-1,-1,0,0,0,0,-1,-1
1455.734,-1,-3,1,1,1,0,2,-2
1456.731,-2,0,0,2,0,0,0,0
1456.731,1,1,1,-3,-3,-1,-2,1
1477.214,1,0,0,-1,-1,0,1,1
1477.214,-2,-2,1,2,-2,-1,1,2
1479.386,-1,0,0,0,1,1,-1,0
1479.386,-1,-1,0,0,-3,0,0,-2
1492.942,-3,3,-3,-1,-2,0,-1,1
1492.942,2,0,-7,-2,0,-1,-2,0
1494.429,-1,-8,9,4,4,2,0,0
1494.429,-1,-1,0,0,1,-1,0,-1
1515.316,-1,-3,0,-1,-1,0,0,-2
1515.316,1,2,-3,1,-1,0,-1,0
1516.629,0,1,-3,-1,-2,-1,1,-1
1516.629,1,0,0,0,-1,1,0,-1
1537.932,-3,-3,2,0,0,2,0,0
1537.932,-1,-1,1,-1,1,-1,1,1
1538.938,1,2,-5,-2,-1,-1,-1,-1
1538.938,0,2,-2,-1,1,0,1,0
1552.155,0,1,2,0,-1,-1,-2,0
1552.155,-4,2,0,0,-1,-1,0,0
1553.353,0,0,-3,-3,-2,-3,-2,-1
1553.353,0,-1,-2,-2,0,0,0,-1
1575.023,-1,0,2,1,-3,1,1,2
1575.023,1,-2,1,0,-1,2,-2,0
1576.028,-1,0,-2,2,1,0,0,0
1576.028,-1,-5,1,1,0,1,-2,0
1604.415,1,-1,-1,-1,1,2,0,-2
1604.415,-2,-1,2,-2,0,-1,0,0
1606.409,-2,-2,-3,0,-2,-2,1,1
1606.409,1,-1,4,1,0,-2,0,-1
1611.586,0,1,0,1,1,-1,-5,-1
1611.586,1,0,-1,-1,-1,1,3,0
1618.375,-1,1,-1,-2,-1,-2,-1,0
1618.375,1,-2,5,2,1,1,1,0
1635.202,3,0,-2,0,-1,-1,-2,1
1635.202,-1,-2,-3,-1,-1,0,-1,0
1636.222,-2,0,0,0,-1,0,-1,1
1636.222,-3,-1,-10,-3,-2,-2,-2,-1
1657.955,-2,-3,3,2,0,-2,2,-1
1657.955,-2,-1,0,-1,3,-2,-2,1
1659.501,-2,0,-2,-2,0,1,-1,-1
1659.501,3,0,-2,-1,0,-1,0,0
1679.428,1,-1,-1,-3,0,-1,-2,-2
1679.428,0,2,0,-3,-1,0,0,1
1681.421,0,-4,1,0,0,-1,1,-1
1681.421,0,1,3,0,-2,2,-2,0
