pc_t_ms,emg_t_ms,emg0,emg1,emg2,emg3,emg4,emg5,emg6,emg7
895,1683,-7,18,-2,-16,22,15,-5,-19
912,1699,3,36,1,8,38,28,5,-1
912,1699,0,21,-3,5,31,18,3,10
913,1701,0,21,-1,6,19,18,-6,3
913,1701,-5,18,1,-10,21,15,-8,-18
934,1722,3,39,-2,2,32,34,7,0
934,1722,0,22,-1,6,32,18,4,9
940,1728,1,21,0,0,7,18,-2,3
940,1728,-7,18,-2,-7,21,16,-10,-20
948,1736,3,45,1,-2,38,30,5,0
948,1736,1,22,-1,3,32,18,2,11
955,1743,0,21,0,3,3,18,-4,3
955,1743,-6,18,-5,-12,22,16,-7,-23
972,1759,2,42,7,8,39,35,5,1
972,1759,2,22,-3,5,33,19,1,8
973,1761,1,19,0,-2,5,17,-4,4
973,1761,-6,19,-1,-11,21,16,-7,-19
994,1782,2,39,-3,8,39,36,3,1
994,1782,4,23,-4,-1,32,19,2,10
996,1783,1,15,0,6,13,15,-5,3
996,1783,-6,17,0,-10,24,15,-7,-17
1008,1796,3,37,-1,4,40,33,4,1
1008,1796,2,23,0,15,31,19,0,10
1015,1803,0,15,-1,-3,10,13,-6,3
1015,1803,-6,18,-1,-11,25,16,-8,-15
1032,1819,2,42,1,11,30,35,5,1
1032,1819,3,23,2,12,30,20,1,9
1033,1821,-1,13,-3,-11,-1,11,-7,3
1033,1821,-6,18,-1,-9,24,14,-6,-14
1054,1842,1,38,1,10,35,36,3,1
1054,1842,2,23,0,-4,31,20,4,9
1056,1843,2,13,-3,0,16,12,-5,4
1056,1843,-6,17,-2,-13,25,14,-6,-11
1068,1856,0,41,3,6,32,29,4,6
1068,1856,1,24,-3,5,31,20,0,9
1075,1863,-2,11,0,3,0,9,-7,4
1075,1863,-3,16,-1,-12,25,15,-8,-12
1092,1880,3,39,-2,8,32,35,2,1
1092,1880,2,24,1,0,29,19,1,8
1093,1881,-1,10,2,-1,4,9,-7,4
1093,1881,-6,16,0,-10,26,14,-5,-10
1122,1910,2,34,1,4,28,34,3,4
1122,1910,0,22,0,8,29,20,2,9
1123,1911,-2,9,-3,-2,-4,10,-8,3
1123,1911,-5,17,2,-6,26,13,-4,-9
1128,1917,2,38,-2,0,30,33,2,1
1128,1917,3,22,0,-2,28,20,0,9
1152,1940,-2,9,-3,4,5,9,-6,4
1152,1940,-6,16,1,-14,24,12,-5,-10
1153,1940,1,37,-3,12,32,32,3,4
1153,1940,2,22,0,12,28,20,1,7
1155,1942,-2,9,-3,-5,12,7,-9,4
1155,1942,-5,16,-3,-9,26,13,-7,-8
1174,1962,2,34,1,8,29,34,5,4
1174,1962,1,23,1,6,29,19,2,10
1180,1968,-2,9,2,-2,7,8,-8,4
1180,1968,-7,15,-1,-9,24,13,-3,-9
1188,1976,3,38,-4,3,33,33,1,2
1188,1976,0,23,2,1,29,19,2,11
1195,1983,-3,11,0,-3,-7,10,-7,4
1195,1983,-5,15,-2,-11,25,13,-6,-8
1219,2007,1,35,4,10,34,33,4,2
1219,2007,1,23,2,9,31,20,1,9
1221,2009,-1,11,-2,-1,-1,10,-6,3
1221,2009,-6,16,-1,-9,25,13,-5,-8
1234,2022,0,33,0,4,27,32,4,4
1234,2022,3,23,-2,4,29,20,1,8
1235,2023,-1,3,2,-1,-1,8,-7,3
1236,2023,-4,16,-3,-7,25,13,-2,-8
1248,2035,2,38,4,6,35,34,4,6
1248,2035,1,23,-1,3,31,20,2,11
1257,2045,-1,3,1,-2,-3,5,-13,3
1257,2045,-7,16,-2,-6,27,14,-1,-8
1279,2066,0,34,-2,6,31,33,2,5
1279,2066,2,24,1,9,31,21,1,10
1281,2069,-2,3,-5,-16,-2,3,-8,3
1281,2069,-4,16,0,-9,25,14,-4,-6
1294,2082,2,36,-1,5,33,33,4,4
1294,2082,2,24,-2,0,30,21,0,7
1296,2084,-2,-9,1,1,-4,-8,-8,0
1296,2084,-4,16,-4,-6,27,14,0,-5
1308,2096,1,34,-1,1,31,32,1,7
1308,2096,2,22,-3,8,31,20,3,9
